1	8432	24979	1	118.92403	25.28494			
1	8433	24979	1	118.92403	25.28494			
1	8741	24979	1	118.88129	25.26748			
1	8742	22857	1	118.88129	25.26748			
1	8744	24979	1	118.88129	25.26748			
1	8745	22857	1	118.88129	25.26748			
1	8812	22859	1	119.18011	25.47358			
1	8881	22859	1	119.15631	25.45196			
1	8882	22859	1	119.15631	25.45196			
1	9062	22784	1	117.847	24.1986			
1	9071	22784	1	117.743	24.1269			
1	9083	22849	1	118.96531	25.29681			
8	9162	22887	1	117.724275	24.54411389			
8	9163	22887	1	117.724275	24.54411389			
8	9201	22887	1	117.7521583	24.51501389			
8	9202	22887	1	117.7521583	24.51501389			
1	9372	23016	1	117.8805278	24.55280556			
1	9421	22952	1	119.404444	25.946388			
1	9422	22952	1	119.4036111	25.94661108			
1	9423	22952	1	119.4036111	25.94661108			
1	9427	22952	1	119.4036111	25.94661108			
1	9521	22785	1	117.63624	23.94792			
6	9564	22805	1	119.004111	26.184944			
6	9565	22805	1	119.004111	26.184944			
1	9701	22954	1	119.5239167	26.29466667			
1	9702	22954	1	119.5239167	26.29466667			
1	9703	22954	1	119.5239167	26.29466667			
1	9711	22954	1	119.5546667	26.17383331			
1	9712	22954	1	119.5546667	26.17383331			
1	9731	24743	1	119.5419444	26.13111111			
1	9732	22954	1	119.5419444	26.13111111			
1	9733	24743	1	119.5419444	26.13111111			
1	9737	24743	1	119.5419444	26.13111111			
1	9738	24743	1	119.5419444	26.13111111			
1	9741	22954	1	119.5569444	26.22472222			
1	9742	24743	1	119.5569444	26.22472222			
1	9743	24743	1	119.5569444	26.22472222			
1	9745	24743	1	119.5569444	26.22472222			
1	9746	24743	1	119.5569444	26.22472222			
1	9747	24743	1	119.5569444	26.22472222			
1	9763	22954	1	119.5583333	26.19194444			
6	9921	24838	1	118.739778	26.17024			
6	9922	24838	1	118.739778	26.17024			
5	10037	22942	1	118.112804	26.572781			
1	10041	24651	1	119.07625	25.39058			
1	10042	24651	1	119.07625	25.39058			
4	10087	24721	1	118.032706	27.758783			
5	10213	24725	1	118.252313	26.762271			
1	10231	24884	1	118.5586001	24.8386001			
1	10233	24884	1	118.5586001	24.8386001			
1	10241	22879	1	118.4680001	24.7803001			
1	10243	22879	1	118.4680001	24.7803001			
1	10252	24781	1	118.5249401	24.8260101			
1	10253	24781	1	118.5249401	24.8260101			
1	10262	22890	1	117.79551	24.50364			
5	10271	24724	1	118.311316	26.880894			
5	10272	24724	1	118.311316	26.880894			
5	10283	22939	1	118.234619	27.140369			
8	10301	22930	1	118.631745	27.166734			
8	10303	22930	1	118.631745	27.166734			
4	10331	22932	1	118.344279	27.419746			
7	10331	24888	1	118.50404	24.91993			
7	10333	24888	1	118.50404	24.91993			
8	10342	24707	1	117.730761	26.366584			
4	10351	24720	1	118.074106	27.448561			
5	10353	24720	1	118.074106	27.448561			
4	10357	24720	1	118.074106	27.448561			
5	10371	22933	1	118.063556	27.521698			
7	10371	22926	1	117.297498	26.029388			
4	10372	22933	1	118.063556	27.521698			
1	10443	22890	1	117.85284	24.51893			
8	10472	22909	1	117.037944	25.043194			
8	10473	22909	1	117.037944	25.043194			
5	10511	22935	1	118.366519	27.70394			
5	10513	22935	1	118.366519	27.70394			
5	10521	22935	1	118.457783	27.825841			
5	10522	22935	1	118.457783	27.825841			
5	10523	22935	1	118.457783	27.825841			
5	10531	22935	1	118.521316	28.055621			
5	10532	22935	1	118.521316	28.055621			
5	10533	22935	1	118.521316	28.055621			
4	10551	22931	1	118.759983	27.358116			
4	10552	22931	1	118.759983	27.358116			
4	10553	22931	1	118.759983	27.358116			
3	10593	22937	1	118.69953	27.49362			
4	10721	22932	1	118.36456	27.44979			
6	10751	22921	1	117.28636	27.07992			
6	10752	22921	1	117.28636	27.07992			
6	10753	22921	1	117.28636	27.07992			
6	10761	22921	1	117.2716138	26.96567			
6	10762	22921	1	117.2716138	26.96567			
6	10801	22942	1	118.1544444	26.44055557			
6	10802	22942	1	118.1544444	26.44055557			
6	10803	22942	1	118.1544444	26.44055557			
6	10807	22942	1	118.1544444	26.44055557			
